Overall rank,Country Code,Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP,Family,Health,Freedom,Corruption,Generosity,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
144,NGA,Nigeria,Sub-Saharan Africa,English,Mixed,181136992,910770,5.13,0.714,1.008,0.114,0.38,0.034,0.23,2227.516,49.36,0.6469,3.902364774,0.41,4.225,14.62,45.67,4.31,#N/A,35.1,48,51,0.04,0,0.01,1,0.06,0,27.9,52,4.12,6,5.59,21.4,9.85,36,13.4,0.46,#N/A,311.39,77,20,46,54,16,-0.4,12.69
9,NIC,Nicaragua,Latin America and Caribbean,Spanish,Christian,6223000,120340,6.028,0.676,1.196,0.716,0.488,0.148,0.258,2050.006,50.71,0.7715,6.02647273,0.835,9.035,7.145,6.88,4.48,17.78,46.2,85.8,0,12.5,0,0,1.4,0.1,0,13.3,59,3.55,20,2.48,#N/A,7.37,332,5.2,0.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.5,5.03
121,NLD,Netherlands,Northern Europe,Europe (other),Christian,16938000,33690,7.406,1.41,1.35,0.878,0.592,0.3,0.414,49070.846,50.29,0.7608,12.21845845,0.22,11.485,18,18.855,6.87,52.63,28.5,50.6,6,42.1,0.5,0.2,0.2,0.2,0.2,#N/A,92.2,9.01,28,1.66,10.91,0.59,61,8.7,0.96,46.1,96.74,38,80,14,53,44,0.7,8.7
4,NOR,Norway,Northern Europe,Europe (other),Christian,5200000,365123.0078,7.54,1.522,1.43,0.876,0.64,0.346,0.33,75493.11,49.65,0.8417,11.06011103,0.37,12.12,15.83,13.96,4.3,42.22,27,84.7,3.7,10.1,0.5,0.6,0,0.2,0,#N/A,83,9.87,35,1.72,6.88,0.47,60,7.5,0.85,57.1,90.83,31,69,8,50,20,8.8,7.8
129,NPL,Nepal,Southern Asia,Asia (other),Hindu,27015000,143350,4.81,0.434,1.04,0.558,0.432,0.074,0.336,918.168,54.11,0.6053,7.856490727,0.635,10.935,11.785,17.955,3.1,#N/A,32.8,0.5,4.6,0.3,80.7,10.3,3.7,0.07,0,20.8,20.6,5.28,28,2.1,44.46,2.16,79,2,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-15.1,6.5
7,NZL,New Zealand,Australia and New Zealand,English,Christian,4615000,263310,7.312,1.318,1.44,0.894,0.618,0.4,0.434,41321.064,50.83,0.7799,11.88124812,0.63,16.495,12.845,11.67,5.37,41.67,#N/A,57,1.2,36.6,2.1,1.6,0.5,0.7,0.2,#N/A,86.7,9.26,31,1.99,7.52,0.7,201,10.7,2.04,72.8,127.5,22,79,58,49,30,4,6.87
22,OMN,Oman,Middle East and Northern Africa,Arabic,Muslim,4267000,309500,6.85,1.36,1.08,0.76,0.63,0.33,0.22,15533.498,34.79,0.6053,3.143345603,0.18,3.96,3.885,7.035,3.32,#N/A,#N/A,6.5,85.9,0.2,5.5,0.8,0,1,0,11.4,86.3,3.06,31,2.94,#N/A,0.27,36,0.8,1.7,#N/A,121.46,#N/A,#N/A,#N/A,#N/A,#N/A,48.5,2.54
81,PAK,Pakistan,Southern Asia,Asia (other),Muslim,199427008,770880,5.342,0.67,0.608,0.454,0.23,0.114,0.282,1391.424,48.53,0.5459,4.30199754,0.545,7.105,4.28,5.505,3.57,#N/A,33.5,1.6,96.4,0.01,1.9,0.01,0.02,0.01,0,28.5,37.2,4.25,29,3.66,65.81,3.88,38,0.3,0.67,#N/A,159.85,55,14,50,70,0,-1.1,7.11
25,PAN,Panama,Latin America and Caribbean,Spanish,Christian,3968000,74340,6.538,1.146,1.288,0.778,0.54,0.07,0.186,14889.642,49.85,0.7164,4.994085055,0.45,6.59,6.87,8.525,4.53,27.03,49.2,93,0.8,4.8,0,0.2,0.4,0.4,0.4,9.2,68.4,7.05,40,2.54,#N/A,9.39,401,7.9,0.72,#N/A,169.51,95,11,44,86,0,1.5,5
58,PER,Peru,Latin America and Caribbean,Spanish,Christian,30471000,1280000,5.728,0.966,1.104,0.702,0.446,0.044,0.12,6612.71,50.33,0.6787,3.116984407,0.285,4.17,4.295,6.22,3,#N/A,42.8,93,0.01,6.5,0.01,0.2,1,0.3,0,8.8,78.3,6.6,34,2.32,23.28,7.7,278,6.3,0.59,#N/A,215.46,64,16,42,87,0,-4.2,5.35
90,PHL,Philippines,Southeastern Asia,Asia (other),Christian,102113000,298170,5.386,0.794,1.154,0.538,0.594,0.112,0.18,3187.018,49.67,0.7832,5.384224818,0.255,7.38,8.315,15.57,3.04,#N/A,44.4,85,5.5,7,0,1.5,1.5,0.1,0.03,20.1,47.4,6.64,17,2.81,17.63,6.46,179,6.6,0.64,#N/A,198.33,94,32,64,44,19,-1.7,5.8
60,POL,Poland,Eastern Europe,Europe (other),Christian,38034000,306190,5.98,1.212,1.334,0.766,0.506,0.054,0.14,13984.286,51.53,0.7031,18.11042677,0.49,19.03,26.98,17.085,7.5,33.33,29.7,94.3,0,5.6,0,0,0,0,0,#N/A,60,6.62,33,1.32,18.67,0.73,195,11.6,0.8,#N/A,114.94,68,60,64,93,0,-1.7,10.4
,PRI,Puerto Rico,Latin America and Caribbean,Spanish,Christian,3382000,8870,7.04,1.36,1.08,0.78,0.47,0.12,0.22,31199.002,52.16,#N/A,7.262129402,0.11,7.155,10.5,11.205,12,#N/A,#N/A,96.7,0.1,1.9,0,0.3,0.8,0.1,0,#N/A,#N/A,#N/A,15,1.34,10.21,21.09,313,0,0.95,#N/A,160.03,#N/A,#N/A,#N/A,#N/A,#N/A,-13.9,8.08
88,PRT,Portugal,Southern Europe,Portuguese,Christian,10368000,91605.5957,5.304,1.234,1.262,0.87,0.506,0.02,0.094,21463.562,52.64,0.7056,12.49615678,0.1,7.665,16.6,31.78,12.44,70.97,33.8,93.8,0.6,4.4,0.1,0.6,0.5,0,0,#N/A,66.3,8.03,35,1.31,9.26,0.79,125,12.3,0.69,103.6,113.62,63,27,31,104,0,-2.7,10.5
53,PRY,Paraguay,Latin America and Caribbean,Spanish,Christian,6689000,397300,5.666,0.856,1.384,0.644,0.504,0.078,0.23,5525.434,49.11,0.6724,5.690833101,0.935,7.93,7.71,9.265,4.56,#N/A,46.2,96.9,0.1,1.1,0,0,1.7,0.2,0,8.3,62.2,6.24,22,2.51,#N/A,7.14,199,7.2,0.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.7,5.42
28,QAT,Qatar,Middle East and Northern Africa,Arabic,Muslim,2566000,11610,6.422,1.742,1.168,0.77,0.604,0.356,0.292,63008.398,23.99,0.6299,5.337030666,0.17,6.21,6.14,7.63,0.16,33.33,#N/A,13.8,67.7,0.9,13.8,3.1,0,0.7,0,#N/A,99.2,3.19,25,1.93,#N/A,0.38,53,2,2,#N/A,142.23,#N/A,#N/A,#N/A,#N/A,#N/A,54.7,1.13
86,ROU,Romania,Eastern Europe,Europe (other),Christian,19925000,230080,5.698,1.142,1.044,0.74,0.434,0.006,0.114,10936.1,51.32,0.6908,12.08517907,0.55,11.58,18.515,16.26,6.81,22.06,36,99.5,0.3,0.1,0,0,0,0,0,5,56.4,6.49,34,1.62,18.32,1.28,107,12.7,0.45,#N/A,129.76,#N/A,#N/A,#N/A,#N/A,#N/A,-3,13.2
64,RUS,Russia,Eastern Europe,Russian,Christian,144984992,16376870,5.8,1.196,1.338,0.628,0.36,0.032,0.046,10338.81,53.67,0.6983,31.17734031,1,38.59,35.35,39.675,5.57,52.17,37.5,73.3,10,16.2,0,0.1,0.2,0,0.2,5.8,74.8,3.11,38,1.78,9.85,8.21,346,11.7,0.96,#N/A,184.38,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,13
154,RWA,Rwanda,Sub-Saharan Africa,English,Christian,11369000,24670,3.44,0.322,0.79,0.418,0.582,0.474,0.228,772.002,50.9,#N/A,6.210525039,0.635,6.18,24.075,60.8,1.16,#N/A,43.7,93.4,4.8,3.6,0,0,1,0.2,0,29.1,17.4,3.16,26,4.16,#N/A,2.52,511,9,0.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2,5.6
35,SAU,Saudi Arabia,Middle East and Northern Africa,Arabic,Muslim,31718000,2149690,6.376,1.44,1.182,0.666,0.418,0.232,0.124,21557.946,43.12,0.5879,3.094039745,0.06,3.82,4.665,6.605,5.59,21.15,#N/A,4.4,93,0.7,1.1,0.3,0.3,0.3,0,8.5,84.3,1.93,30,2.51,22.5,1.3,197,0.2,1.68,#N/A,131.67,80,38,52,68,0,11.7,3.41
118,SDN,Sudan,Sub-Saharan Africa,Arabic,Muslim,38903000,,4.2425,0.605,1.07,0.3175,0.0325,0.105,0.17,1077.25,50.07,#N/A,4.111637787,0.39,7,6.15,8.325,12.78,#N/A,35.4,5.4,90.7,1,0,0,2.8,0,0,32.8,35.3,2.7,20,4.59,#N/A,5.16,52,0.5,1.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.9,7.43
142,SEN,Senegal,Sub-Saharan Africa,French,Muslim,14578000,192530,4.392,0.432,1.036,0.45,0.352,0.1,0.174,1352.654,51.37,0.6923,7.577820662,0.53,7.025,29.48,72.815,4.85,#N/A,40.3,5,92,0.2,0,0,2.8,0,0,17.9,48.1,5.81,32,4.84,#N/A,7.38,68,0.7,0.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.1,6.14
24,SGP,Singapore,Southeastern Asia,English,Mixed,5592000,709.0000153,6.542,1.592,1.23,1.016,0.554,0.466,0.304,60962.146,47.67,0.7,9.016076559,0.31,8.545,12.405,24.525,1.69,27.94,#N/A,18.2,14.3,16.4,5.2,33.9,2.3,9.7,0,#N/A,100,6.02,18,1.24,19,0.16,199,2,0.91,#N/A,147.77,74,20,48,8,48,11.8,4.8
123,SLE,Sierra Leone,Sub-Saharan Africa,English,Muslim,7172000,72180,4.56,0.318,0.844,0.05,0.342,0.068,0.246,525.496,50.17,#N/A,5.797440155,0.42,6.55,21.115,48.37,4.7,#N/A,35.7,21,78,0.1,0,0,1,0,0,30.4,42.9,4.86,18,4.56,#N/A,1.71,60,5.7,0.49,#N/A,#N/A,77,20,46,54,16,-0.6,12.63
42,SLV,El Salvador,Latin America and Caribbean,Spanish,Christian,6325000,20720,6.124,0.828,1.098,0.662,0.418,0.094,0.088,3935.348,52.98,0.6609,10.18205641,0.995,14.195,12.245,14.145,4,22.86,38.6,88.2,0.1,11,0,0,0.5,0.3,0,9.6,73.4,6.15,26,2.1,#N/A,52.02,590,3.8,0.6,#N/A,#N/A,66,19,40,94,0,-7.7,6.96
,SOM,Somalia,Sub-Saharan Africa,Arabic,Muslim,13797000,627340,5.06,0.005,0.6175,0.1525,0.6,0.285,0.26,0,50.11,#N/A,5.087263896,0.555,6.165,23.455,44.975,6.08,#N/A,#N/A,0.01,99.8,0,0,0,0,0,0,#N/A,46.1,#N/A,22,6.36,#N/A,4.31,#N/A,0,0.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.6,11.53
87,SRB,Serbia,Eastern Europe,Europe (other),Christian,8877000,87460,5.338,1,1.166,0.718,0.228,0.038,0.178,6454.846,50.98,0.7116,18.61624588,0.24,12.66,27.11,52.845,17.92,25.49,36.2,92.5,4.2,3.3,0,0,0,0,0,6.5,56.4,6.41,31,1.46,23.3,1.23,156,11.1,0.45,#N/A,110.26,#N/A,#N/A,#N/A,#N/A,#N/A,0.7,14.6
,SSD,South Sudan,Sub-Saharan Africa,English,Christian,10716000,,3.38,0.36,0.495,0.2,0.1175,0.1125,0.2425,223.93,49.98,#N/A,5.930095311,0.68,7.05,26.33,62.44,11.99,#N/A,46.3,60.5,20,0.5,0,0,32.9,0,0,#N/A,20.2,#N/A,32,4.94,#N/A,13.9,50,0,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2,10.83
40,SUR,Suriname,Latin America and Caribbean,Europe (other),Christian,559000,156000,6.27,1.05,0.875,0.56,0.56,0.135,0.17,6517.294,49.69,0.6369,25.57791943,1.375,30.76,38.715,56.48,7.22,30.95,57.6,51.6,15.2,5.4,19.8,0.6,5.3,1.8,0.2,10.8,66.1,6.98,30,2.49,#N/A,5.5,183,5.1,0.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.8,7.16
45,SVK,Slovakia,Eastern Europe,Europe (other),Christian,5436000,48080,6.11,1.248,1.38,0.772,0.306,0.02,0.138,17825.316,51.41,0.6857,13.11002151,0.295,12.425,20.005,19.16,11.48,30.91,25.2,85.3,0.2,14.3,0,0,0,0,0,5,53.8,7.17,35,1.4,16.1,1.37,195,11.5,0.69,38.9,101.44,#N/A,#N/A,#N/A,#N/A,#N/A,0.4,9.9
55,SVN,Slovenia,Eastern Europe,Europe (other),Christian,2071000,20141.99951,5.89,1.26,1.362,0.852,0.58,0.048,0.21,23559.778,50.31,0.7155,20.89993348,0.74,15.995,30.67,41.105,8.96,37.5,24.2,78.4,3.6,18,0,0,0,0,0,#N/A,55.1,7.5,33,1.57,#N/A,0.48,69,12.6,0.91,58.6,103.38,#N/A,#N/A,#N/A,#N/A,#N/A,1.6,9.6
8,SWE,Sweden,Northern Europe,Europe (other),Christian,9765000,407310,7.316,1.404,1.37,0.898,0.616,0.396,0.338,52700.256,50.02,0.8129,14.32253687,0.3,14.755,20.58,19.85,7.4,44.44,28.8,76.2,4.6,27,0.2,0.4,0.2,0.2,0.1,#N/A,88,9.39,34,1.85,6.63,1.08,61,9.2,0.68,96.8,103.37,31,71,5,29,33,5.3,9.3
101,SWZ,Swaziland,Sub-Saharan Africa,English,Christian,1104000,17200,4.54,0.76,1.11,0.04,0.31,0.085,0.125,3814.662,51.79,#N/A,19.68622153,0.16,30.305,37.275,33.145,26.33,#N/A,54.6,88.1,2,10.1,0.1,0,1,0.4,0,#N/A,24.2,3.14,10,3.07,#N/A,9.5,258,9.9,0.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-7.7,11.24
156,SYR,Syria,Middle East and Northern Africa,Arabic,Muslim,17997000,183630,3.292,0.7,0.356,0.566,0.082,0.158,0.43,0,49.63,0.5661,2.608714339,0.12,3.8,4.58,6.35,#N/A,12.26,35.8,5.2,92.8,2,0,0,0,0,0,#N/A,55.5,1.43,37,2.94,32.2,0.88,60,0.3,1.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-54.7,5.77
149,TCD,Chad,Sub-Saharan Africa,French,Mixed,14111000,1259200,4.004,0.382,0.804,0.094,0.178,0.058,0.194,714.222,50.1,0.5588,5.228195238,0.47,6.54,24.66,56.195,5.66,#N/A,43.3,40.6,58,2.5,0,0,1.4,0.1,0,44.2,23.5,1.61,27,6.05,#N/A,9.04,59,1.6,0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.5,12.77
158,TGO,Togo,Sub-Saharan Africa,French,Muslim,7323000,54390,3.544,0.268,0.322,0.288,0.362,0.104,0.178,629.794,50.31,#N/A,7.471346328,0.415,8.525,27.675,52.99,1.84,#N/A,43.1,43.7,20,6.2,0,0,35.6,0.6,0,23.9,42.8,3.3,22,4.52,#N/A,9,66,3.1,0.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.84
34,THA,Thailand,Southeastern Asia,Asia (other),Buddhist,68715000,510890,6.286,1.052,1.314,0.716,0.568,0.03,0.492,6706.172,51.16,0.6928,12.06088838,0.285,14.43,13.48,17.5,0.6,25.45,36.4,0.9,5.5,0.3,0.1,93.2,0.09,0,0,9.7,51.4,6.32,19,1.54,24.25,3.24,531,8.3,0.81,#N/A,172,64,20,34,64,56,0.5,7.39
106,TJK,Tajikistan,Central Asia,Asia (other),Muslim,8454000,138790,5.1,0.472,1.032,0.59,0.41,0.122,0.232,847.014,49.55,0.6682,5.261639483,0.54,7.915,7.805,7.685,10.36,10.37,34,1.6,96.7,1.5,0,0,0,0,0,#N/A,27.5,1.93,#N/A,3.62,#N/A,1.61,121,3.3,0.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.4,5.2
70,TKM,Turkmenistan,Central Asia,Asia (other),Muslim,5565000,469930,5.584,1.048,1.366,0.52,0.416,0.184,0.218,5275.192,50.76,#N/A,8.833288489,0.655,13.36,8.55,9.985,3.58,#N/A,40.8,6.4,93,0.5,0,0,0,0,0,11.8,52.5,1.72,#N/A,2.93,#N/A,4.22,552,5.4,0.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.9,7.1
41,TTO,Trinidad and Tobago,Latin America and Caribbean,English,Christian,1370000,5130,6.178,1.27,1.304,0.586,0.526,0.014,0.266,17022.244,50.54,0.7166,11.21422544,0.7,14.715,12.755,12.6,3.39,34.92,40.3,65.9,6,1.9,22.7,0.3,1.9,1.4,0,9.1,53.2,7.16,24,1.77,#N/A,30.88,292,8.4,0.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,8.07
107,TUN,Tunisia,Middle East and Northern Africa,Arabic,Muslim,11180000,155360,4.728,0.938,0.762,0.692,0.246,0.07,0.05,3559.436,50.43,#N/A,3.305262023,0.185,3.775,4.13,10.065,15.22,0,32.8,0.2,99.5,0.2,0,0,0,0,0.1,6.2,69.6,6.72,16,2.25,#N/A,3.05,195,1.9,1.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.8,6.3
76,TUR,Turkey,Middle East and Northern Africa,Asia (other),Muslim,78529000,769630,5.414,1.15,1.182,0.704,0.258,0.12,0.082,10139.134,50.78,0.6081,3.568761736,0.4,4.66,4.065,5.415,10.24,21.33,41.9,0.4,98,1.2,0,0.05,0.03,0.2,0.03,5,76.1,4.09,26.5,2.1,20.62,2.59,324,2,1.52,41,195.99,66,37,45,85,0,4.7,5.4
146,TZA,Tanzania,Sub-Saharan Africa,English,Mixed,51483000,885800,3.466,0.442,0.94,0.396,0.388,0.086,0.31,1020.47,50.09,0.6928,4.828982331,0.545,4.985,19.33,46.86,2.12,#N/A,40.5,61.4,35.2,1.4,0.1,0,1.8,0.07,0,28.6,35.2,5.16,37,5.08,#N/A,6.95,59,9.4,0.51,#N/A,#N/A,64,27,41,52,25,-1,7.16
141,UGA,Uganda,Sub-Saharan Africa,English,Christian,38225000,200520,4.02,0.318,1.066,0.288,0.43,0.062,0.28,772.42,50.88,0.7086,5.212061073,0.535,5.77,25.195,69.82,1.9,#N/A,42.8,86.7,11.5,0.5,0.3,0,0.9,0.1,0,30.6,25,5.02,28,5.39,29.1,10.42,124,9.5,0.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.7,7.35
111,UKR,Ukraine,Eastern Europe,Russian,Christian,44922000,579290,4.306,0.834,1.28,0.638,0.168,0.018,0.2,2741.784,53.74,0.6935,33.66279135,1.24,43.03,34.63,35.91,9.14,41.79,26.1,83.8,1.2,14.7,0,0,0,0,0,5,69.6,5.9,37,1.51,16.6,6.2,148,8.6,0.7,#N/A,145.84,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,14.9
32,URY,Uruguay,Latin America and Caribbean,Spanish,Christian,3412000,175020,6.432,1.134,1.316,0.782,0.574,0.19,0.17,16358.23,51.77,0.6803,19.87375755,0.65,21.19,27.415,38.515,7.49,0,39.7,57.9,0.1,40.7,0,0,0.8,0.3,0.3,5,95.5,8.38,25,2,#N/A,12.06,295,10.8,0.94,#N/A,139.31,61,36,38,100,0,-1.8,9.44
15,USA,United States,North America,English,Christian,320878016,9147420,6.998,1.456,1.33,0.82,0.508,0.142,0.354,60533.23,50.54,0.7392,14.83627494,0.82,16.9,20.35,19.12,5.28,44.62,41.4,78.3,1.1,16.4,0.6,1.2,0.2,0.6,1.8,#N/A,82.7,7.96,0,1.84,9.04,4.96,655,9.8,3.26,#N/A,152.2,40,91,62,46,29,3.2,8.44
44,UZB,Uzbekistan,Central Asia,Asia (other),Muslim,30930000,425400,6.046,0.726,1.434,0.594,0.656,0.268,0.328,2052.664,50.19,#N/A,9.534245054,1.745,13.4,11.86,11.345,7.94,14.1,35.3,2.3,96.7,0.8,0,0,0,0,0,10.7,50.4,2.01,15,2.49,41.2,1.1,150,2.7,0.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.4,4.9
23,VEN,Venezuela,Latin America and Caribbean,Spanish,Christian,30082000,882050,5.532,1.052,1.324,0.686,0.212,0.07,0.058,0,50.29,0.706,8.908768842,0.535,12.655,9.525,12.32,6.82,36.36,46.9,89.3,0.3,10,0,0,0.2,0.07,0,16.9,88.3,2.88,15,2.34,#N/A,36.69,178,5.6,0.63,#N/A,155.42,81,12,73,76,0,-2.9,6.41
75,VNM,Vietnam,Southeastern Asia,Asia (other),Folk Religion,92677000,310070,5.154,0.724,1.14,0.722,0.576,0.092,0.196,2384.962,50.15,0.6863,7.701290558,0.13,7.93,14.28,21.32,2.12,7.02,35.7,8.2,0.2,29.6,0.16,16.4,45.3,0.4,0,15.3,37.3,3.08,22,2.01,34.06,1.52,128,8.4,0.68,#N/A,110.26,#N/A,#N/A,#N/A,#N/A,#N/A,-0.9,6.13
69,XKX,Kosovo,Eastern Europe,Europe (other),Muslim,,,5.606,0.878,1.014,0.61,0.318,0.042,0.282,4053.212,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29,11.4,87,1.6,0,0,0,0,0,#N/A,#N/A,#N/A,32,2.09,23.5,2.4,95,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7
136,YEM,Yemen,Middle East and Northern Africa,Arabic,Muslim,26498000,527970,3.626,0.49,0.864,0.364,0.244,0.068,0.096,855.946,49.6,0.5128,4.739257368,0.365,8.335,7.13,8.775,13.81,#N/A,36.7,0.2,99.1,0.1,0.6,0,0,0,0,45.9,36.6,1.95,37,4.1,#N/A,6.66,53,0.1,1.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,5.97
113,ZAF,South Africa,Sub-Saharan Africa,English,Christian,55386000,1213090,4.674,0.978,1.256,0.292,0.428,0.072,0.126,5903.092,50.64,0.751,10.7608265,0.045,13.725,18.265,20.555,25.16,17.14,63,81.2,2,14.9,1.7,0.2,0.4,0.3,0.1,14,67.4,7.24,27,2.48,21.56,36.4,275,9.3,0.96,#N/A,191.72,49,65,63,49,0,3.5,9.77
85,ZMB,Zambia,Sub-Saharan Africa,English,Christian,15879000,743390,4.586,0.572,0.934,0.306,0.462,0.096,0.22,1400.184,50.52,0.6312,6.601500107,0.705,7.615,28.8,66.685,7.75,#N/A,57.1,97.6,1,0.5,0.1,0,0.3,0.9,0,38.1,44.6,5.09,31,4.92,#N/A,5.3,123,4.8,0.51,#N/A,#N/A,64,27,41,52,25,-0.7,7.17
115,ZWE,Zimbabwe,Sub-Saharan Africa,English,Christian,13815000,386850,4.006,0.346,1.004,0.274,0.324,0.092,0.17,1521.11,52.45,#N/A,18.17790823,0.23,25.655,50.06,86.905,5.09,#N/A,44.3,87,1,7.9,0,0,3.8,0.3,0.08,34.4,32.2,3.16,33,3.9,#N/A,6.67,114,4.8,0.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-9.4,8.67
